,state,year,Unnamed: 2,policy,grant
404,Utah,2024,323,1,524930
405,Vermont,2016,520,0,407585
406,Vermont,2017,595,0,406845
407,Vermont,2018,733,0,424720
408,Vermont,2019,870,0,423590
409,Vermont,2020,446,0,434426
410,Vermont,2021,470,0,438495
411,Vermont,2022,692,0,447588
412,Vermont,2023,726,1,456573
413,Vermont,2024,795,1,455104
414,Virginia,2016,174,0,502926
415,Virginia,2017,190,0,501387
416,Virginia,2018,267,0,539364
417,Virginia,2019,436,0,537030
418,Virginia,2020,344,0,560265
419,Virginia,2021,253,0,568926
420,Virginia,2022,215,0,588744
421,Virginia,2023,226,1,607096
422,Virginia,2024,441,1,604740
423,Washington,2016,319,0,485973
424,Washington,2017,358,0,485149
425,Washington,2018,363,0,521111
426,Washington,2019,339,0,519754
427,Washington,2020,251,0,542482
428,Washington,2021,254,0,551458
429,Washington,2022,395,0,570483
430,Washington,2023,566,1,587727
431,Washington,2024,535,1,585531
432,West Virginia,2016,354,0,423756
433,West Virginia,2017,414,0,422749
434,West Virginia,2018,432,0,443583
435,West Virginia,2019,409,0,441990
436,West Virginia,2020,402,0,454450
437,West Virginia,2021,291,0,459006
438,West Virginia,2022,303,0,469457
439,West Virginia,2023,391,1,479348
440,West Virginia,2024,501,1,478168
441,Wisconsin,2016,"1,084",0,471125
442,Wisconsin,2017,"1,235",0,469626
443,Wisconsin,2018,"1,212",0,500699
444,Wisconsin,2019,"1,339",0,498519
445,Wisconsin,2020,"1,175",0,517338
446,Wisconsin,2021,"1,192",0,524397
447,Wisconsin,2022,"1,572",0,540149
448,Wisconsin,2023,"1,677",1,555611
449,Wisconsin,2024,"1,696",1,553200
450,Wyoming,2016,958,0,363720
451,Wyoming,2017,677,0,363011
452,Wyoming,2018,734,0,380794
453,Wyoming,2019,577,0,379612
454,Wyoming,2020,421,0,390325
455,Wyoming,2021,377,0,394414
456,Wyoming,2022,588,0,403514
457,Wyoming,2023,414,1,412035
458,Wyoming,2024,500,1,410963
